urlLen,authorityLen,pathLen,queryLen,epoch,count
80.94316206007555,16.763534984111757,57.01187121530068,0.13142274716709634,2000-01-01,16679
46.98310291858679,16.0189452124936,23.411162314388122,0.3118279569892473,2000-02-01,1953
53.907933814170555,16.43063215952482,29.30844293593551,0.7781077641069156,2000-03-01,2357
51.71129441624365,17.414340101522843,26.51205583756345,0.541243654822335,2000-04-01,1576
52.63133281371785,16.03585346843336,28.47895557287607,0.8811379579111458,2000-05-01,2566
51.93079424059452,16.763585694379934,27.514166279609846,0.433348815606131,2000-06-01,2153
55.11633986928105,16.545751633986928,29.56797385620915,1.7823529411764707,2000-07-01,1530
55.59233449477352,16.259001161440185,30.45354239256678,1.4761904761904763,2000-08-01,1722
58.907549234135665,16.432713347921226,32.189824945295406,2.825492341356674,2000-09-01,1828
54.90972972972973,16.243243243243242,29.291891891891893,2.062162162162162,2000-10-01,1850
77.5609664731223,19.714990322782043,39.09964412811388,10.853530623712306,2000-11-01,16017
70.44245362563238,17.83410623946037,38.363195615514336,6.829679595278246,2000-12-01,4744
79.01895769831239,17.324065125269495,47.02832503159616,6.678908631328526,2001-01-01,13451
53.10469436001351,16.15737926376224,28.508611955420466,1.1452212090509963,2001-02-01,2961
53.31719490890941,16.49862740204642,27.231095582730223,2.2707761417519343,2001-03-01,4007
62.337951086027026,15.63930220625962,38.666666666666664,0.5672994698135796,2001-04-01,5847
48.32848484848485,15.44848484848485,25.294545454545453,0.3444848484848485,2001-05-01,4125
54.34822601839684,16.359264126149803,30.01471747700394,0.6625492772667543,2001-06-01,3805
52.91319324836376,15.267137444023424,29.962797106441613,0.46503616947984844,2001-07-01,5806
63.21211326691138,18.330624016780284,36.38332459360252,1.2385946512847403,2001-08-01,3814
56.67568321249303,18.16871165644172,30.775515895147798,0.42136084774121585,2001-09-01,3586
56.49590811198851,15.86805455850682,32.740990667623834,0.40330222541277816,2001-10-01,6965
59.720428336079074,16.678912685337725,35.11482701812191,0.4545304777594728,2001-11-01,6070
67.97534690427555,16.66499964781292,43.27463548637036,0.201239698527858,2001-12-01,14197
60.64517218095881,17.65259959486833,34.644328156650914,0.8987170830519919,2002-01-01,5924
56.396372458410355,17.31550369685767,31.440734750462106,0.45124768946395566,2002-02-01,8656
59.0667030170847,17.445837877135588,33.95892402762632,0.40567066521264994,2002-03-01,5502
60.857988165680474,16.944510190664037,36.07179487179487,0.5297830374753452,2002-04-01,7605
61.96907785753727,17.993741947358732,33.675869685256764,2.9519602429596907,2002-05-01,5433
64.10393059490085,18.347025495750707,35.07577903682719,3.2101628895184136,2002-06-01,5648
64.43218773096822,17.148928307464892,39.61733185513673,0.3771249076127125,2002-07-01,5412
61.54591467823572,18.536804049168474,35.140419378163415,0.483586406362979,2002-08-01,6915
63.050388164640395,18.476197451296322,36.81529222205947,0.45158927786729164,2002-09-01,6827
55.81866997108633,17.525402726146222,30.133209417596035,0.8566707971912433,2002-10-01,4842
60.30583996966249,17.88187334091771,34.35400075843762,0.7997724687144482,2002-11-01,5274
64.2730231667624,18.110089986597742,37.75531303848363,1.1135362818303658,2002-12-01,5223
67.47893413775766,17.96671694318753,41.50437405731523,0.7483157365510307,2003-01-01,9945
57.315135323498666,16.432222093158323,25.969218259960506,7.559879196190034,2003-02-01,8609
61.116661003511155,16.81424849926379,35.84754785366406,1.2047797032506513,2003-03-01,8829
60.075864178647905,17.096665646986846,34.9804221474457,0.6240440501682472,2003-04-01,6538
61.67493336423688,17.248464480241047,36.49391586510604,0.41337350793834743,2003-05-01,8629
52.78395334452593,17.788901652381373,27.60316338252187,0.2228505787752938,2003-06-01,11317
59.99436763952893,17.064772145417308,33.97862263184844,1.6712749615975422,2003-07-01,7812
58.44939982924012,13.174375973080206,37.762342423785846,0.3601024559288835,2003-08-01,19911
65.815834767642,17.910130317187114,38.269117285468404,2.258544381608065,2003-09-01,8134
60.78457029205485,17.975086360305664,30.056317387208207,5.314665550088978,2003-10-01,9553
58.231209333632485,17.071124074489568,33.35842494951761,0.4382993044648867,2003-11-01,8914
59.20036241263267,16.74411079471913,34.453145223919236,0.6818534817499353,2003-12-01,7726
58.86083521444695,17.69729119638826,33.12832957110609,0.7066591422121896,2004-01-01,8860
63.94852865784887,18.084896954783144,37.70327078847534,0.7464369937455142,2004-02-01,9753
58.00157246440115,17.434961125185637,32.40246352756181,0.9000611513933782,2004-03-01,11447
61.59903672486454,17.78420916831513,35.99707577191021,0.4903242452911327,2004-04-01,11627
61.457117660027926,17.600793709120307,36.02388476519439,0.5366355552289263,2004-05-01,13607
62.63748079877112,17.70641321044547,37.14304915514593,0.44210829493087556,2004-06-01,10416
59.922637148765354,17.62243036126992,33.18172971657949,1.814864371730933,2004-07-01,8221
62.30996978851964,17.375658178679327,35.84807941303409,1.7827362969356928,2004-08-01,11585
58.34527454582568,16.865278628291488,32.26964686670749,1.7941416615635843,2004-09-01,9798
60.14802784222738,18.07034802784223,33.5738283062645,1.1612064965197215,2004-10-01,10775
60.5919628072857,16.405298688065216,34.224557381225324,2.6515730480193604,2004-11-01,15702
55.184228086138916,14.346800121322413,32.6177737336973,1.0390658174097664,2004-12-01,16485
60.29498905062476,20.208424578127012,31.92593069689553,0.7624629653484478,2005-01-01,15526
57.48798596901491,16.80017538731365,28.324641917567963,4.938380590470623,2005-02-01,17105
56.42620342129691,17.427794722185386,30.07585200901737,1.6283649383370906,2005-03-01,15082
56.056976076504384,16.67598097974931,31.616020089279807,0.3722152982300159,2005-04-01,377913
61.938576113692264,17.414320852691993,35.09066684886581,2.027124897512982,2005-05-01,14636
63.16001464664958,18.310718208923994,36.9039075168698,0.7178427577548778,2005-06-01,19117
59.7653602041484,16.58372047372898,34.80383432572139,0.9759209579271085,2005-07-01,15283
54.84703777609578,17.5531548888736,29.351819995871466,0.6412991123649625,2005-08-01,14533
57.5636341493119,16.99439775910364,31.94824016563147,1.2592254293021556,2005-09-01,16422
62.3548535061063,17.58310876669916,32.05200389885901,5.291783727997248,2005-10-01,17441
61.759363665744964,18.744712177254282,34.955435055840844,0.8581893920350486,2005-11-01,27847
61.38040397949955,18.324751281278264,34.29683448899608,1.3562858004220681,2005-12-01,16585
60.28540708141628,16.754550910182036,31.218193638727744,4.956641328265653,2006-01-01,19996
61.642413031190586,16.980011304660604,32.22054365140537,4.964133394995119,2006-02-01,19461
59.22288808284708,17.599484834148136,33.08983861641171,1.2435998528097567,2006-03-01,19023
63.976951489780845,17.34356069933514,33.01635065254863,6.180940655011081,2006-04-01,20305
71.0867727605986,17.30866433777548,26.40147496441972,19.889636434208825,2006-05-01,23187
60.293321407274895,17.619320214669052,33.6783542039356,1.6634466308884914,2006-06-01,16770
79.4392756790509,17.59284698373053,23.808755680438477,30.315259999306207,2006-07-01,28827
59.547021601571025,18.251974689068295,31.15465852061968,2.7958978834824353,2006-08-01,22915
55.318548205520784,18.112847300400773,27.496239924348178,2.434682757689017,2006-09-01,22207
57.15654688145394,17.01413557299555,30.7768139887099,2.0419018770939465,2006-10-01,21789
58.504688981770926,16.98623160408837,26.506936883144252,7.590074110498402,2006-11-01,28471
59.85709866996598,16.902257964738634,29.04447193868784,6.57834140976733,2006-12-01,29097
