queryLen,epoch,count
16.35820895522388,2000-01-01,134
23.423076923076923,2000-02-01,26
20.377777777777776,2000-03-01,90
30.464285714285715,2000-04-01,28
33.74626865671642,2000-05-01,67
31.1,2000-06-01,30
47.8421052631579,2000-07-01,57
45.392857142857146,2000-08-01,56
48.271028037383175,2000-09-01,107
29.8046875,2000-10-01,128
176.1306990881459,2000-11-01,987
57.24381625441696,2000-12-01,566
27.207147183525137,2001-01-01,3302
32.2952380952381,2001-02-01,105
46.18781725888325,2001-03-01,197
30.154545454545456,2001-04-01,110
24.92982456140351,2001-05-01,57
19.8503937007874,2001-06-01,127
21.428571428571427,2001-07-01,126
22.495238095238093,2001-08-01,210
19.126582278481013,2001-09-01,79
19.643356643356643,2001-10-01,143
24.633928571428573,2001-11-01,112
25.508928571428573,2001-12-01,112
14.913165266106443,2002-01-01,357
26.39189189189189,2002-02-01,148
27.21951219512195,2002-03-01,82
32.49193548387097,2002-04-01,124
55.6875,2002-05-01,288
24.174666666666667,2002-06-01,750
17.594827586206897,2002-07-01,116
29.5929203539823,2002-08-01,113
25.907563025210084,2002-09-01,119
29.211267605633804,2002-10-01,142
27.03846153846154,2002-11-01,156
39.033557046979865,2002-12-01,149
33.981735159817354,2003-01-01,219
74.04209328782707,2003-02-01,879
34.99013157894737,2003-03-01,304
24.878048780487806,2003-04-01,164
25.29787234042553,2003-05-01,141
18.14388489208633,2003-06-01,139
24.541353383458645,2003-07-01,532
31.038961038961038,2003-08-01,231
92.31658291457286,2003-09-01,199
42.34445371142619,2003-10-01,1199
26.76027397260274,2003-11-01,146
25.326923076923077,2003-12-01,208
21.589655172413792,2004-01-01,290
40.22099447513812,2004-02-01,181
16.834967320261438,2004-03-01,612
19.325423728813558,2004-04-01,295
28.748031496062993,2004-05-01,254
21.928571428571427,2004-06-01,210
47.66773162939297,2004-07-01,313
32.93939393939394,2004-08-01,627
24.970170454545453,2004-09-01,704
22.10600706713781,2004-10-01,566
68.03104575163398,2004-11-01,612
40.78333333333333,2004-12-01,420
25.027484143763214,2005-01-01,473
28.51823092505064,2005-02-01,2962
29.66062801932367,2005-03-01,828
11.600280389246247,2005-04-01,12126
40.754120879120876,2005-05-01,728
34.22194513715711,2005-06-01,401
27.62037037037037,2005-07-01,540
22.78728606356968,2005-08-01,409
25.881101376720903,2005-09-01,799
46.8259766615931,2005-10-01,1971
32.25101214574899,2005-11-01,741
20.41197822141561,2005-12-01,1102
46.292853806632415,2006-01-01,2141
35.32248628884826,2006-02-01,2735
21.009769094138544,2006-03-01,1126
54.354265915980946,2006-04-01,2309
70.94000922934933,2006-05-01,6501
27.61980198019802,2006-06-01,1010
102.24616824616825,2006-07-01,8547
31.52952755905512,2006-08-01,2032
32.947592931139546,2006-09-01,1641
35.28231562252181,2006-10-01,1261
33.93483040201005,2006-11-01,6368
77.99918500407497,2006-12-01,2454
27.69593023255814,2007-01-01,1720
29.937671232876713,2007-02-01,1460
114.61696658097686,2007-03-01,2723
22.291310344827586,2007-04-01,3625
35.78665987780041,2007-05-01,1964
32.27754137115839,2007-06-01,2115
31.219966159052454,2007-07-01,1773
47.047098402018506,2007-08-01,2378
44.652408339324225,2007-09-01,2782
87.07095808383234,2007-10-01,3340
36.62403846153846,2007-11-01,2080
55.19950228121112,2007-12-01,2411
51.682793601248534,2008-01-01,2563
49.48468976631749,2008-02-01,2482
45.64739884393064,2008-03-01,2768
52.242802085694855,2008-04-01,4411
47.64767779390421,2008-05-01,2756
28.50120546477364,2008-06-01,3733
35.38399330730619,2008-07-01,3586
47.547425474254744,2008-08-01,2214
69.08547008547009,2008-09-01,4212
48.9031560743623,2008-10-01,2313
37.21987720644666,2008-11-01,2606
26.657789855072465,2008-12-01,5520
24.693153916518224,2009-01-01,41542
42.17791077257889,2009-02-01,3676
56.099124843722095,2009-03-01,5599
33.25715137067938,2009-04-01,3356
44.55236576289208,2009-05-01,3762
41.32035485460818,2009-06-01,4058
62.61056105610561,2009-07-01,4545
49.09632571996028,2009-08-01,6042
37.95075168481078,2009-09-01,3858
43.09292744335088,2009-10-01,4369
36.370498084291185,2009-11-01,5220
36.94536120278695,2009-12-01,5454
32.26805111821086,2010-01-01,6260
49.373815014091726,2010-02-01,3903
49.480718667835234,2010-03-01,6846
38.03981750311074,2010-04-01,4822
36.91000436871997,2010-05-01,4578
33.72853000223065,2010-06-01,4483
36.98463227222832,2010-07-01,5466
33.1342512908778,2010-08-01,6391
41.04218702406336,2010-09-01,6566
32.93722412947523,2010-10-01,6117
34.46843380361978,2010-11-01,7017
35.5831516861136,2010-12-01,7799
39.17391304347826,2011-01-01,9338
45.74974597183916,2011-02-01,6889
34.92025955299207,2011-03-01,6935
41.756655092592595,2011-04-01,6912
38.30453960668995,2011-05-01,5441
46.73828125,2011-06-01,7424
63.97982224357435,2011-07-01,8326
42.02856781696372,2011-08-01,7911
32.30875576036866,2011-09-01,8246
34.77594501718213,2011-10-01,5820
171.84583620096353,2011-11-01,13077
35.086697551290534,2011-12-01,6044
44.78895430798573,2012-01-01,12059
43.667707594038326,2012-02-01,7045
45.17472864558754,2012-03-01,8476
34.14548947690158,2012-04-01,11451
92.4138488833229,2012-05-01,19164
42.387985196660644,2012-06-01,11619
40.65555870674986,2012-07-01,7052
40.09991090747104,2012-08-01,7857
34.6498877245509,2012-09-01,10688
33.74831539336659,2012-10-01,11427
34.52711846203415,2012-11-01,9311
40.27815675901434,2012-12-01,7183
49.02950310559006,2013-01-01,7728
28.713259668508286,2013-02-01,10860
281.42869515011546,2013-03-01,48496
35.93877700208341,2013-04-01,27359
39.570829080186,2013-05-01,8817
53.9479843953186,2013-06-01,10766
38.28727678571428,2013-07-01,8960
403.91167710272464,2013-08-01,59090
40.11484323083429,2013-09-01,16553
59.448315062931385,2013-10-01,12315
30.78820413714122,2013-11-01,13971
42.3820749707975,2013-12-01,9417
41.44947911398806,2014-01-01,9887
43.16473369284184,2014-02-01,13537
47.78454403899533,2014-03-01,29542
59.81728746090418,2014-04-01,17585
39.73714285714286,2014-05-01,13125
44.27058436574937,2014-06-01,18242
149.93081656755692,2014-07-01,48263
46.443595863166266,2014-08-01,12570
42.57524866990516,2014-09-01,21615
45.8624064171123,2014-10-01,18700
46.061128242336295,2014-11-01,11026
43.353427029907415,2014-12-01,15013
38.024008536368484,2015-01-01,22492
43.674481514878266,2015-02-01,16635
34.6234116743169,2015-03-01,50761
35.12462831286361,2015-04-01,38675
45.504677846425416,2015-05-01,16995
39.344077738934644,2015-06-01,16877
38.461403200281346,2015-07-01,22748
32.415789473684214,2015-08-01,20710
61.029830437513084,2015-09-01,19108
44.60496573818635,2015-10-01,22474
39.27738189495909,2015-11-01,18945
52.853841510735535,2015-12-01,23194
50.60950245360892,2016-01-01,30771
52.128865979381445,2016-02-01,21146
55.25986613351878,2016-03-01,23008
36.613777016090644,2016-04-01,21006
45.87574944949528,2016-05-01,45867
49.724701195219126,2016-06-01,35140
55.02230248306998,2016-07-01,22150
36.97523523261892,2016-08-01,30608
48.67169925266098,2016-09-01,26494
45.81280605736389,2016-10-01,24301
49.4047704127211,2016-11-01,33582
48.3378942567449,2016-12-01,28503
45.63452396672389,2017-01-01,30292
54.36523823320252,2017-02-01,37967
29.933233912388864,2017-03-01,209882
44.09800185013876,2017-04-01,54050
48.16788960957652,2017-05-01,39931
36.89577147998201,2017-06-01,44460
65.82542638698294,2017-07-01,40808
73.50097409140784,2017-08-01,44657
54.616124203577186,2017-09-01,52108
47.84174301675978,2017-10-01,44750
48.57925448350438,2017-11-01,49013
